CO_Concentration,NO2_Concentration,O3_Concentration,PM10_Concentration,PM25_Concentration,SO2_Concentration,station_id,time
0.7,19.4,131.6,138.7,112.0,12.3,1035.0,2014-05-01 00:00:00
0.7,23.3,112.2,154.9,123.0,10.9,1035.0,2014-05-01 01:00:00
0.8,20.3,100.4,151.1,143.0,14.9,1035.0,2014-05-01 02:00:00
0.8,21.6,91.2,144.0,138.0,16.5,1035.0,2014-05-01 03:00:00
0.9,23.8,79.2,149.3,145.0,16.4,1035.0,2014-05-01 04:00:00
0.9,19.8,83.9,152.2,151.0,11.4,1035.0,2014-05-01 05:00:00
0.9,28.3,56.9,,173.0,8.5,1035.0,2014-05-01 06:00:00
1.0,29.0,43.8,,179.0,5.1,1035.0,2014-05-01 07:00:00
1.0,36.7,28.3,218.2,188.0,6.4,1035.0,2014-05-01 08:00:00
1.1,42.8,43.3,,201.0,16.6,1035.0,2014-05-01 09:00:00
1.1,26.9,89.0,187.8,185.0,25.1,1035.0,2014-05-01 10:00:00
1.0,20.0,117.1,194.6,189.0,33.2,1035.0,2014-05-01 11:00:00
1.0,15.9,135.7,214.0,197.0,30.5,1035.0,2014-05-01 12:00:00
1.0,9.5,160.4,,190.0,29.3,1035.0,2014-05-01 13:00:00
1.0,7.5,175.5,,187.0,24.9,1035.0,2014-05-01 14:00:00
0.9,7.5,193.1,,178.0,23.6,1035.0,2014-05-01 15:00:00
0.9,10.6,199.9,,158.0,21.4,1035.0,2014-05-01 16:00:00
0.9,10.5,194.7,,155.0,18.9,1035.0,2014-05-01 17:00:00
0.8,12.0,187.6,,145.0,16.2,1035.0,2014-05-01 18:00:00
0.9,15.5,176.8,,182.0,18.1,1035.0,2014-05-01 19:00:00
0.8,17.8,133.1,,194.0,15.7,1035.0,2014-05-01 20:00:00
0.5,13.6,64.9,,133.0,5.1,1035.0,2014-05-01 21:00:00
0.4,9.1,66.1,,125.0,2.4,1035.0,2014-05-01 22:00:00
0.4,8.5,64.1,,77.0,2.0,1035.0,2014-05-01 23:00:00
0.4,5.2,66.7,,56.0,2.0,1035.0,2014-05-02 00:00:00
0.4,6.7,62.9,,42.0,2.0,1035.0,2014-05-02 01:00:00
0.3,7.7,62.0,,35.0,2.2,1035.0,2014-05-02 02:00:00
0.3,3.8,64.9,,35.0,2.1,1035.0,2014-05-02 03:00:00
0.3,2.8,68.4,,39.0,2.0,1035.0,2014-05-02 04:00:00
0.3,,37.8,,24.0,2.0,1035.0,2014-05-02 05:00:00
0.4,5.6,61.9,,27.0,2.0,1035.0,2014-05-02 06:00:00
0.3,4.7,68.0,,17.0,2.0,1035.0,2014-05-02 07:00:00
0.3,5.3,74.4,,17.0,2.0,1035.0,2014-05-02 08:00:00
0.3,2.6,90.3,,20.0,3.2,1035.0,2014-05-02 09:00:00
0.3,7.0,84.2,,33.0,3.9,1035.0,2014-05-02 10:00:00
0.3,12.4,82.9,,36.0,4.2,1035.0,2014-05-02 11:00:00
0.3,10.6,89.4,,25.0,2.9,1035.0,2014-05-02 12:00:00
